timestamp,cpu_mean,cpu_std,cpu_min,cpu_max,cpu_trend,cpu_growth_rate,memory_mean,memory_std,memory_trend,memory_growth_rate,heap_trend,heap_growth_rate,stack_trend,stack_growth_rate,latency_mean,latency_max,latency_trend,latency_growth_rate,task_delay_trend,deadline_miss_rate,deadline_trend,queue_trend,queue_growth_rate,cpu_health_score,memory_health_score,stack_health_score,task_health_score,timing_health_score,ai_health_score,resource_health_score,overall_health_score,health_state,cpu_overload_flag,memory_leak_flag,heap_exhaustion_flag,stack_risk_flag,deadline_miss_flag,task_starvation_flag,ai_latency_flag,queue_overflow_flag,fault_type,fault_severity,fault_count,degradation_index,degradation_rate,health_change_rate
23.527,9.13,0.093,8.9,9.2,STABLE,0.1937,34.3,0.0,STABLE,-0.0,STABLE,-0.0,IMPROVING,-1.0381,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,98.29,100.0,100.0,100.0,35.0,54.59,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4306,-0.00047,0.0096
23.527,9.131,0.093,8.9,9.2,STABLE,0.1884,34.3,0.0,STABLE,-0.0,STABLE,-0.0,STABLE,0.011,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,91.88,96.0,100.0,100.0,35.0,54.17,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4337,-0.00043,0.0069
24.522,9.133,0.092,8.9,9.2,STABLE,0.1819,34.3,0.0,STABLE,-0.0,STABLE,-0.0,IMPROVING,-0.5699,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,99.11,100.0,100.0,100.0,35.0,54.62,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4304,-0.00042,0.0076
24.522,9.134,0.092,8.9,9.2,STABLE,0.1764,34.3,0.0,STABLE,-0.0,STABLE,-0.0,IMPROVING,-0.9068,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,98.29,100.0,100.0,100.0,35.0,54.59,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4306,-0.00041,0.0081
24.522,9.135,0.091,8.9,9.2,STABLE,0.1717,34.3,0.0,STABLE,-0.0,STABLE,-0.0,STABLE,0.0184,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,91.88,96.0,100.0,100.0,35.0,54.17,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4337,-0.00039,0.0057
25.522,9.137,0.091,8.9,9.2,STABLE,0.166,34.3,0.0,STABLE,-0.0,STABLE,-0.0,IMPROVING,-0.497,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,99.11,100.0,100.0,100.0,35.0,54.62,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4304,-0.00038,0.0065
25.522,9.138,0.09,8.9,9.2,STABLE,0.1612,34.3,0.0,STABLE,-0.0,STABLE,-0.0,IMPROVING,-0.7993,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,98.29,100.0,100.0,100.0,35.0,54.59,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4306,-0.00037,0.0069
25.522,9.139,0.09,8.9,9.2,STABLE,0.157,34.3,0.0,STABLE,-0.0,STABLE,-0.0,STABLE,0.0232,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,91.88,100.0,100.0,100.0,35.0,54.37,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4322,-0.00035,0.006
26.527,9.14,0.089,8.9,9.2,STABLE,0.152,34.3,0.0,STABLE,-0.0,STABLE,-0.0,IMPROVING,-0.4373,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,99.11,100.0,100.0,100.0,35.0,54.62,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4304,-0.00035,0.0066
26.527,9.141,0.089,8.9,9.2,STABLE,0.1477,34.3,0.0,STABLE,-0.0,STABLE,-0.0,IMPROVING,-0.7101,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,98.29,100.0,100.0,100.0,35.0,54.59,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4306,-0.00034,0.0069
